S.No,Name,Publisher,Architecture,ResourceId,Version,PackageFullName,InstallLocation,IsFramework,PackageFamilyName,PublisherId,PackageUserInformation,IsResourcePackage,IsBundle,IsDevelopmentMode,NonRemovable,IsPartiallyStaged,SignatureKind,Status,Dependencies
166,Microsoft.ECApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,,10.0.19041.4597,Microsoft.ECApp_10.0.19041.4597_neutral__8wekyb3d8bbwe,C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe,FALSE,Microsoft.ECApp_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
167,MicrosoftWindows.Client.CBS,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,1000.19060.1000.0,MicrosoftWindows.Client.CBS_1000.19060.1000.0_x64__cw5n1h2txyewy,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy,FALSE,MicrosoftWindows.Client.CBS_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
168,Microsoft.WebpImageExtension,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,1.1.1711.0,Microsoft.WebpImageExtension_1.1.1711.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WebpImageExtension_1.1.1711.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.WebpImageExtension_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Staged, S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]:  Installed}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
169,55746MarkSmirnov.BluetoothAudioReveicer,CN=31739823-03FD-4649-A8FA-F124DC096528,X64,,1.1.5.0,55746MarkSmirnov.BluetoothAudioReveicer_1.1.5.0_x64__xwrbx6997tsfc,C:\Program Files\WindowsApps\55746MarkSmirnov.BluetoothAudioReveicer_1.1.5.0_x64__xwrbx6997tsfc,FALSE,55746MarkSmirnov.BluetoothAudioReveicer_xwrbx6997tsfc,xwrbx6997tsfc,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,DependencyIssue,"{Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe,  Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe, 55746MarkSmirnov.BluetoothAudioReveicer_1.1.5.0_neutral_split.scale-100_xwrbx6997tsfc}"
170,Microsoft.MicrosoftEdge.Stable,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,,127.0.2651.98,Microsoft.MicrosoftEdge.Stable_127.0.2651.98_neutral__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.MicrosoftEdge.Stable_127.0.2651.98_neutral__8wekyb3d8bbwe,FALSE,Microsoft.MicrosoftEdge.Stable_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Developer,Ok,
171,5E8FC25E.XODODOCS,CN=728D3E49-73AE-4BBD-BC7C-5885A138F109,X64,,6.3.4.0,5E8FC25E.XODODOCS_6.3.4.0_x64__3v3sf0k6w2rec,C:\Program Files\WindowsApps\5E8FC25E.XODODOCS_6.3.4.0_x64__3v3sf0k6w2rec,FALSE,5E8FC25E.XODODOCS_3v3sf0k6w2rec,3v3sf0k6w2rec,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,"Modified, DependencyIssue, NeedsRemediation","{Microsoft.UI.Xaml.2.7_7.2208.15002.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe,  Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe, Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe...}"
172,Microsoft.Office.OneNote,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,16001.14326.22008.0,Microsoft.Office.OneNote_16001.14326.22008.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_16001.14326.22008.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.Office.OneNote_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed, S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]:  Staged}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,"{Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe, Microsoft.Office.OneNote_16001.14326.22008.0_neutral_ta-in_8wekyb3d8bbwe}"
173,Microsoft.MSPaint,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,6.2408.2027.0,Microsoft.MSPaint_6.2408.2027.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.MSPaint_6.2408.2027.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.MSPaint_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Staged},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,"{Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe, Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe}"
174,Microsoft.WindowsAppRuntime.1.4,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X86,,4000.1309.2056.0,Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x86__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x86__8wekyb3d8bbwe,TRUE,Microsoft.WindowsAppRuntime.1.4_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
175,Microsoft.WindowsAppRuntime.1.4,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,4000.1309.2056.0,Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.4_4000.1309.2056.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.WindowsAppRuntime.1.4_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
176,Microsoft.StorePurchaseApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,22407.1401.0.0,Microsoft.StorePurchaseApp_22407.1401.0.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_22407.1401.0.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.StorePurchaseApp_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Staged},FALSE,FALSE,FALSE,FALSE,FALSE,Store,DependencyIssue,"{Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe,  Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe, Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe...}"
